dataId,dataLyricsId,title,lyrics,link,linkPage,time
137249621,false,Там нет меня,,https://data.zvyki.com/listen/137249621/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobEdUeEFFRkxHY0swNWl1ME9vVFV5YUZlSldybnVHaE5xdjQ5bGczdExtWWhDZEhKUEE2R2VOY2tUc0NST25xQzRXSis2ZE1tSkNGY29FRnNqWXZCczM/Ivan_Ozhogin_-_Tam_net_menya_(Zvyki.com).mp3,zvyki.com/song/137249621/Ivan_Ozhogin_-_Tam_net_menya/,03:35
137249625,false,Там нет меня,,https://data.zvyki.com/listen/137249625/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobEdUeEFFRkxHY0swNWl1ME9vVFV5YTF6aU5aRFAyRmpKSEVKUmhVbk52ZlFyWnptS21ZWXJoR3NPQ3RHdEgybjNRK3ZTK1kyMVR3M2NoRW0ybUtyNHc/Ivan_Ozhogin_-_Tam_net_menya_(Zvyki.com).mp3,zvyki.com/song/137249625/Ivan_Ozhogin_-_Tam_net_menya/,03:34
137536528,false,"Мрак подсознания, ""Джекилл и Хайд""",,https://data.zvyki.com/listen/137536528/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRoa0tBZUYwOVhLYlBQVDNxK0RJS3NCVHBuSWNvUWUyenE0Qm1XbksxamNKUjNIWHU5Tno5c1JDckhlMUF3SFl5ZHNwRTRrYTk1b3M5b0hBQkZQeFA2Ky8/Ivan_Ozhogin_-_Mrak_podsoznaniya_Dzhekill_i_Hajd_(Zvyki.com).mp3,zvyki.com/song/137536528/Ivan_Ozhogin_-_Mrak_podsoznaniya_Dzhekill_i_Hajd/,01:07
137902889,false,Куплеты Лепелетье (8.02.2016),,https://data.zvyki.com/listen/137902889/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRoa1pjdEU5RXUyc0VmVzZIL2NtcmEvQlFQbnVKckZycnRad3ZKTTFpQU9lYnU1OWY1TEo2MWY0bnFvc2NlVDRQbXhJNUQ2WUV4UzBFL01UU2xEaWJ6Tm8/Ivan_Ozhogin_-_Kuplety_Lepelete_8.02.2016_(Zvyki.com).mp3,zvyki.com/song/137902889/Ivan_Ozhogin_-_Kuplety_Lepelete_8.02.2016/,02:28
138339937,false,"Бог забыт (мюзикл ""Бал вампиров"")",,https://data.zvyki.com/listen/138339937/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobnhoOFYzcGlva1RlQ1VrK0V5WjYzV1NJb1ZQSk5TN05JNDh0MlJzOHQxelZGNGUrQzNFeEMybWM0RUpYVk9DVWdCb3VhOXdIejRmT0h3Y0poUFhKVmw/Ivan_Ozhogin_-_Bog_zabyt_myuzikl_Bal_vampirov_(Zvyki.com).mp3,zvyki.com/song/138339937/Ivan_Ozhogin_-_Bog_zabyt_myuzikl_Bal_vampirov/,04:09
138472045,374501502,Как молоды мы были,"что-то на уровне Градского, а вообще и круче",https://data.zvyki.com/listen/138472045/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobi8vNFR0VFZ2MGtTME9WS2pHeVBiYmtrWXd3REIrU3VTNzFsOHc1SzNyK0xzdG5MNDVCd0MySlFFZ2RqVUNtd2dWUVBmMDVLK1pickZjdHZKcWJXT3g/Ivan_Ozhogin_-_Kak_molody_my_byli_(Zvyki.com).mp3,zvyki.com/song/138472045/Ivan_Ozhogin_-_Kak_molody_my_byli/,04:59
138472051,427042548,Я - Гойя,"Сл. А.Вознесенский
Муз. А.Градский",https://data.zvyki.com/listen/138472051/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobi8vNFR0VFZ2MGtTME9WS2pHeVBiYjRVdm5TdDVnMXpBdW9TakpQWTRndkcrZzMrOEgzL2pkM3BheWIrcytvSEZHd05tRnNWMmlmOHNsblp6bVdKbU8/Ivan_Ozhogin_-_YA_-_Gojya_(Zvyki.com).mp3,zvyki.com/song/138472051/Ivan_Ozhogin_-_YA_-_Gojya/,03:02
138472052,false,Мрак подсознанья,,https://data.zvyki.com/listen/138472052/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobi8vNFR0VFZ2MGtTME9WS2pHeVBiYlVxcGF0YTQ3bVl0ZWtrTjI0dXc5b3M2dWJIK2IwbEdPMldUSVJCK1l0SzI4WTJDVDlZY2ZzLzhLWTRwWk9sZWI/Ivan_Ozhogin_-_Mrak_podsoznanya_(Zvyki.com).mp3,zvyki.com/song/138472052/Ivan_Ozhogin_-_Mrak_podsoznanya/,01:11
138472059,false,Глаза зеленые,,https://data.zvyki.com/listen/138472059/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobi8vNFR0VFZ2MGtTME9WS2pHeVBiYjlyL2pIaVI4UkhrYUdQM0hSNzBQNXJubWdzN1pRellGVGtCYitscGZpWVpuMG5SV0VZN0tNSVN6UjNvTjVZVDQ/Ivan_Ozhogin_-_Glaza_zelenye_(Zvyki.com).mp3,zvyki.com/song/138472059/Ivan_Ozhogin_-_Glaza_zelenye/,04:34
138818248,336675503,This is the Moment,"This is the moment!
This is the day,
When I send all my doubts and demons
On their way!

Every endeavor,
I have made - ever -
Is coming into play,
Is here and now - today!

This is the moment,
This is the time,
When the momentum and the moment 
Are in rhyme!

Give me this moment -
This precious chance -
I'll gather up my past
And make some sense at last!

This is the moment,
When all I've done -
All the dreaming,
Scheming and screaming,
Become one!

This is the day -
See it sparkle and shine,
When all I've lived for
Becomes mine!

For all these years,
I've faced the world alone,
And now the time has come
To prove to them
I've made it on my own!

This is the moment -
My final test -
Destiny beckoned,
I never reckoned,
Second Best!

I won't look down,
I must not fall!
This is the moment,
The sweetest moment of them all!

This is the moment!
Damn all the odds!
This day, or never,
I'll sit forever 
With the gods!

When I look back,
I will always recall,
Moment for moment,
This was the moment,
The greatest moment 
Of them all!",https://data.zvyki.com/listen/138818248/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobDB3R1ZQTjlZb0Nia0ozQmtWTG14Z01UYllyMkJBVWpadEJnZFYreGNlekxiNG9NM0RpZ2V6eVNhcEIzN0VmMXlQd3NGbUQvN2lxZGlsTHJkcUZheGE/Ivan_Ozhogin_-_This_is_the_Moment_(Zvyki.com).mp3,zvyki.com/song/138818248/Ivan_Ozhogin_-_This_is_the_Moment/,03:37
